model,best_params,cv_score,test_acc,test_prec,test_rec,test_f1
LogisticRegression,"{'C': 1, 'penalty': 'l2'}",0.9545539360124101,0.9505119453924915,0.949660080763257,0.9505119453924915,0.9499647761564355
RandomForest,"{'max_depth': 10, 'n_estimators': 50}",0.9954289208726493,0.9957337883959044,0.9957845040746675,0.9957337883959044,0.9957473245364689
SVC,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.9557733365768091,0.962457337883959,0.9619576014424163,0.962457337883959,0.9621275455564906
